0:0:0:0:0:0:0:1 - - [03/May/2013:12:54:45 -0300] "GET /Sistema2/imagens/kitt.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:12:55:15 -0300] "GET /Sistema2/user.jsp HTTP/1.1" 200 2030
0:0:0:0:0:0:0:1 - - [03/May/2013:12:55:15 -0300] "GET /Sistema2/menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:12:55:15 -0300] "GET /Sistema2/imagens/logosys.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:12:55:15 -0300] "GET /Sistema2/imagens/kitt.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:12:55:45 -0300] "GET /Sistema2/user.jsp HTTP/1.1" 200 2030
0:0:0:0:0:0:0:1 - - [03/May/2013:12:55:45 -0300] "GET /Sistema2/menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:12:55:45 -0300] "GET /Sistema2/imagens/logosys.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:12:55:45 -0300] "GET /Sistema2/imagens/kitt.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:12:56:15 -0300] "GET /Sistema2/user.jsp HTTP/1.1" 200 2030
0:0:0:0:0:0:0:1 - - [03/May/2013:12:56:15 -0300] "GET /Sistema2/menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:12:56:15 -0300] "GET /Sistema2/imagens/logosys.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:12:56:15 -0300] "GET /Sistema2/imagens/kitt.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:12:56:33 -0300] "GET /Sistema2/cad_senha.jsp?Cod_2=LOARD HTTP/1.1" 200 19827
0:0:0:0:0:0:0:1 - - [03/May/2013:12:56:34 -0300] "GET /Sistema2/user.jsp HTTP/1.1" 200 2030
0:0:0:0:0:0:0:1 - - [03/May/2013:12:57:04 -0300] "GET /Sistema2/user.jsp HTTP/1.1" 200 2030
0:0:0:0:0:0:0:1 - - [03/May/2013:12:57:04 -0300] "GET /Sistema2/menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:12:57:04 -0300] "GET /Sistema2/imagens/logosys.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:12:57:04 -0300] "GET /Sistema2/imagens/kitt.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:12:57:35 -0300] "GET /Sistema2/user.jsp HTTP/1.1" 200 2030
0:0:0:0:0:0:0:1 - - [03/May/2013:12:57:35 -0300] "GET /Sistema2/menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:12:57:35 -0300] "GET /Sistema2/imagens/logosys.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:12:57:35 -0300] "GET /Sistema2/imagens/kitt.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:12:58:05 -0300] "GET /Sistema2/user.jsp HTTP/1.1" 200 2030
