0:0:0:0:0:0:0:1 - - [20/Mar/2013:18:26:02 -0300] "GET /Sistema2/hora.jsp HTTP/1.1" 200 645
0:0:0:0:0:0:0:1 - - [20/Mar/2013:18:26:02 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Mar/2013:18:26:03 -0300] "GET /Sistema2/hora.jsp HTTP/1.1" 200 645
0:0:0:0:0:0:0:1 - - [20/Mar/2013:18:26:03 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Mar/2013:18:26:03 -0300] "GET /Sistema2/hora.jsp HTTP/1.1" 200 645
0:0:0:0:0:0:0:1 - - [20/Mar/2013:18:26:03 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Mar/2013:18:26:04 -0300] "GET /Sistema2/hora.jsp HTTP/1.1" 200 645
0:0:0:0:0:0:0:1 - - [20/Mar/2013:18:26:04 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Mar/2013:18:26:04 -0300] "GET /Sistema2/hora.jsp HTTP/1.1" 200 645
0:0:0:0:0:0:0:1 - - [20/Mar/2013:18:26:04 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Mar/2013:18:26:04 -0300] "GET /Sistema2/hora.jsp HTTP/1.1" 200 645
0:0:0:0:0:0:0:1 - - [20/Mar/2013:18:26:04 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Mar/2013:18:26:04 -0300] "GET /Sistema2/hora.jsp HTTP/1.1" 200 645
0:0:0:0:0:0:0:1 - - [20/Mar/2013:18:26:04 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Mar/2013:18:26:04 -0300] "GET /Sistema2/hora.jsp HTTP/1.1" 200 645
0:0:0:0:0:0:0:1 - - [20/Mar/2013:18:26:05 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Mar/2013:18:26:05 -0300] "GET /Sistema2/hora.jsp HTTP/1.1" 200 645
0:0:0:0:0:0:0:1 - - [20/Mar/2013:18:26:05 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Mar/2013:18:26:05 -0300] "GET /Sistema2/hora.jsp HTTP/1.1" 200 645
0:0:0:0:0:0:0:1 - - [20/Mar/2013:18:26:05 -0300] "GET /favicon.ico HTTP/1.1" 404 973
